stt,mssv,name,gk,ck,other,average
0,160000,Marc Long,2,9,8,6.33
1,160001,Michael Klein,5,2,5,4.0
2,160002,Theresa Richardson,6,5,4,5.0
3,160003,Terry Davis,6,2,3,3.67
4,160004,Deborah Taylor,10,4,2,5.33
5,160005,Tammy Higgins,7,4,2,4.33
6,160006,Stephanie Meza,6,2,7,5.0
7,160007,Stephanie Henson,9,2,10,7.0
8,160008,Allison Kelly,6,5,2,4.33
9,160009,Brittany Walker,6,5,6,5.67
10,160010,James Rodriguez,3,5,9,5.67
11,160011,Benjamin Horton,9,7,9,8.33
12,160012,Amber Knight,8,4,5,5.67
13,160013,Jordan Barajas,7,4,6,5.67
14,160014,Jack Macias,2,4,5,3.67
15,160015,Leah Weber,5,4,4,4.33
16,160016,Edward Cooper,9,8,5,7.33
17,160017,Mary Ray,8,3,8,6.33
18,160018,Sarah Wright,10,5,10,8.33
19,160019,Sheri Vasquez,5,10,9,8.0
20,160020,Dalton West,10,4,2,5.33
21,160021,Beverly Young,7,7,8,7.33
22,160022,Keith Lang,7,2,3,4.0
23,160023,Sandra Reese,3,6,8,5.67
24,160024,Jessica Mercado,9,9,10,9.33
25,160025,Samuel Young,8,10,4,7.33
26,160026,Terri Irwin,3,7,8,6.0
27,160027,Zachary Carter,4,9,10,7.67
28,160028,Pamela Espinoza,3,8,2,4.33
29,160029,Evan Bush,8,6,9,7.67
30,160030,Ruben Thornton,2,7,2,3.67
31,160031,Nathaniel Wilson,2,9,6,5.67
32,160032,Stephanie Garcia,6,10,8,8.0
33,160033,Joshua Rodriguez,3,2,9,4.67
34,160034,Lee Ramirez,7,10,8,8.33
35,160035,Lindsay Rodriguez,2,9,5,5.33
36,160036,Lawrence Robertson,3,8,7,6.0
37,160037,Hannah Thomas,4,6,4,4.67
38,160038,Gavin Hopkins,6,8,7,7.0
39,160039,Beth Nelson,8,8,7,7.67
40,160040,Sarah Sanchez,6,4,2,4.0
41,160041,Megan Singleton,6,9,9,8.0
42,160042,Brian Jones,4,5,9,6.0
43,160043,Jesus Bean,8,3,6,5.67
44,160044,Edward Cole,9,6,4,6.33
45,160045,Javier Cain,6,3,7,5.33
46,160046,Laura Stewart DVM,5,3,2,3.33
47,160047,Henry Villanueva,9,4,8,7.0
48,160048,Roberto Jackson,3,2,9,4.67
49,160049,Richard Lutz,5,2,6,4.33
50,160050,Terri Smith,5,10,9,8.0
51,160051,Brian Tucker,7,2,4,4.33
52,160052,Michael Stafford,6,8,7,7.0
53,160053,Mark Taylor,10,5,7,7.33
54,160054,Pamela Colon,8,10,10,9.33
55,160055,Randy Webb,5,3,7,5.0
56,160056,Kimberly Hall,8,8,4,6.67
57,160057,Kathleen Davis,6,2,2,3.33
58,160058,Gregory Knox,5,4,3,4.0
59,160059,Adam Gonzalez,8,7,8,7.67
60,160060,Elizabeth Warner,4,8,6,6.0
61,160061,Jacob Cooper,7,5,8,6.67
62,160062,Erin Graham,4,3,6,4.33
63,160063,Todd Hernandez,10,2,8,6.67
64,160064,Cameron Johnson,5,10,7,7.33
65,160065,Rachel Branch,6,4,5,5.0
66,160066,Michelle Chen,9,8,6,7.67
67,160067,Andrew Burke,7,4,7,6.0
68,160068,Terry Ross,3,7,5,5.0
69,160069,Dalton Boyd,9,8,10,9.0
70,160070,Dennis Park,10,9,10,9.67
71,160071,Jeremy Barrett,4,10,9,7.67
72,160072,Mark White,10,9,9,9.33
73,160073,Joshua Howell,7,2,4,4.33
74,160074,Michael Norris,8,8,7,7.67
75,160075,Shawn Pearson,10,7,7,8.0
76,160076,Sophia Davenport,8,10,7,8.33
77,160077,Bruce Smith,8,7,2,5.67
78,160078,Vincent Ellis,7,5,10,7.33
79,160079,Carolyn Barnes,8,3,8,6.33
80,160080,Steven Waters MD,4,8,9,7.0
81,160081,Eric Myers,7,7,4,6.0
82,160082,Spencer Parker,2,7,2,3.67
83,160083,Ann Reyes,2,6,6,4.67
84,160084,Richard Richardson,3,3,5,3.67
85,160085,Robert Bush,7,6,10,7.67
86,160086,Brett Howard,9,7,7,7.67
87,160087,Glenn Gutierrez,10,3,5,6.0
88,160088,Mrs. Priscilla Turner,2,5,3,3.33
89,160089,Richard Blanchard,2,7,8,5.67
90,160090,Leon Gardner,9,9,7,8.33
91,160091,Tanner Hall,10,9,9,9.33
92,160092,Alicia Sharp,9,6,6,7.0
93,160093,Jennifer Sanchez,10,5,2,5.67
94,160094,James Erickson,7,10,4,7.0
95,160095,Sara Mcknight,7,7,5,6.33
96,160096,Vernon Ortiz,4,5,9,6.0
97,160097,Tasha Mcclain,4,5,7,5.33
98,160098,Joshua Williams,2,4,9,5.0
99,160099,Shelby Blair,6,2,5,4.33
