stt,mssv,name,gk,ck,other,average
0,170000,Norma Fisher,6,10,4,6.67
1,170001,Melinda Kennedy,2,9,7,6.0
2,170002,Keith Allen,10,5,10,8.33
3,170003,Janice Johnston,10,6,10,8.67
4,170004,Joanne Keller,7,8,2,5.67
5,170005,Kenneth Kent,3,9,5,5.67
6,170006,Brian Green,7,9,4,6.67
7,170007,Gloria King,3,7,2,4.0
8,170008,Troy Bell,5,9,8,7.33
9,170009,Latoya Barton,9,2,8,6.33
10,170010,Bianca Smith,3,9,8,6.67
11,170011,Rebecca Wilson,2,9,9,6.67
12,170012,James Carter,7,8,10,8.33
13,170013,David Williams,3,9,3,5.0
14,170014,Nicholas Kline,6,9,9,8.0
15,170015,William Green,5,4,3,4.0
16,170016,Ronald Garcia,7,7,2,5.33
17,170017,Brittney Gray,4,4,9,5.67
18,170018,Kathryn Berry,6,10,6,7.33
19,170019,Terri Turner,3,4,7,4.67
20,170020,Anthony Ruiz,9,7,3,6.33
21,170021,Sydney Brennan,2,10,5,5.67
22,170022,Jennifer Torres,2,9,7,6.0
23,170023,Ian Johnson,5,4,4,4.33
24,170024,Tyler Anderson,8,4,4,5.33
25,170025,Paul Carter,8,6,7,7.0
26,170026,Mandy Rice,4,9,8,7.0
27,170027,Tyler Peterson,10,4,8,7.33
28,170028,Crystal Gill,7,6,5,6.0
29,170029,Elizabeth Morgan,10,8,6,8.0
30,170030,Brenda Martinez,9,2,9,6.67
31,170031,Marc Johnson,5,4,6,5.0
32,170032,Gary Jackson,9,8,5,7.33
33,170033,Amber Price,9,2,10,7.0
34,170034,Michael Lewis III,5,7,3,5.0
35,170035,Stephanie Scott,7,5,2,4.67
36,170036,Jon Kim,8,10,8,8.67
37,170037,Carl Pitts DVM,6,5,2,4.33
38,170038,Danielle Mitchell,5,3,10,6.0
39,170039,John Perkins,5,9,5,6.33
40,170040,Heather Garza,9,9,10,9.33
41,170041,James Lee,2,7,10,6.33
42,170042,Mark Johnson,7,8,8,7.67
43,170043,Regina Hooper,5,4,5,4.67
44,170044,Blake Pennington,6,4,9,6.33
45,170045,Paul Morgan,8,3,8,6.33
46,170046,Patrick Johnson,7,4,4,5.0
47,170047,Tiffany Cox,6,5,3,4.67
48,170048,Carrie Jackson,10,10,7,9.0
49,170049,Sarah Brady,5,7,9,7.0
50,170050,Tony House,7,7,3,5.67
51,170051,David Farmer,10,4,2,5.33
52,170052,Connor Rodriguez,4,4,4,4.0
53,170053,Justin Manning,9,4,9,7.33
54,170054,Cassandra Hunt,10,3,10,7.67
55,170055,Lawrence Hudson,8,2,6,5.33
56,170056,Russell Jones,3,7,3,4.33
57,170057,Jared Vaughn,7,3,9,6.33
58,170058,Donna Johnson,5,6,7,6.0
59,170059,Shawn Ford,2,3,4,3.0
60,170060,Keith Parks,5,9,8,7.33
61,170061,Jennifer Perkins,3,10,2,5.0
62,170062,Monica Bray,7,7,4,6.0
63,170063,Christina Bernard,4,4,3,3.67
64,170064,James Jones,6,7,3,5.33
65,170065,Jonathan Rivera,4,2,10,5.33
66,170066,Michael Mendez,4,10,10,8.0
67,170067,Mason Jackson,3,8,7,6.0
68,170068,Manuel Adams,3,9,8,6.67
69,170069,David Rodriguez,3,9,10,7.33
70,170070,Dana Jimenez,4,5,6,5.0
71,170071,Logan Guerra,3,9,4,5.33
72,170072,Gina Perez,2,3,9,4.67
73,170073,Jessica Williams,2,4,3,3.0
74,170074,Aaron Mosley,2,7,7,5.33
75,170075,Anna Landry,3,9,3,5.0
76,170076,Joshua Anderson,8,9,5,7.33
77,170077,Charles Alexander,4,9,8,7.0
78,170078,James Cobb,5,9,2,5.33
79,170079,Christina Williams,9,8,9,8.67
80,170080,Paul Walton,5,2,4,3.67
81,170081,Joshua Miller,4,9,6,6.33
82,170082,Veronica Reyes,7,8,2,5.67
83,170083,Stacey Wilson,10,10,2,7.33
84,170084,Deanna Taylor,7,3,10,6.67
85,170085,Lee Mcgee,7,2,3,4.0
86,170086,Donald Harris,8,6,2,5.33
87,170087,William Edwards,10,9,9,9.33
88,170088,Anthony Mccarthy,5,9,6,6.67
89,170089,Timothy Brown,5,10,4,6.33
90,170090,Elizabeth Dillon PhD,4,3,10,5.67
91,170091,Victoria Reese,9,5,9,7.67
92,170092,Charles Estrada,4,9,6,6.33
93,170093,James Woodard,10,9,7,8.67
94,170094,Matthew Williams,6,2,2,3.33
95,170095,Cynthia Morrow,5,7,4,5.33
96,170096,Kathy Willis,7,4,7,6.0
97,170097,Erin Huang,3,3,4,3.33
98,170098,Jessica Hill,7,4,3,4.67
99,170099,Thomas Orr,5,4,3,4.0
