stt,mssv,name,gender,cmnd
0,190000,Colleen Chapman,nam,1720174547055
1,190001,Robyn Cross,nam,6306984690815
2,190002,Charles Conley,nữ,8435391365401
3,190003,Mark James,nữ,7020290150337
4,190004,Keith Brooks,nam,7980323312109
5,190005,Leslie Barber,nam,7609858329484
6,190006,Linda Todd,nam,3648415948477
7,190007,Kevin Collins,nữ,5015918390004
8,190008,Ashley Wade,nữ,3484436977450
9,190009,Laura Munoz,nam,1267454932877
10,190010,Brandon Noble,nữ,4555065247088
11,190011,Tim Chang,nam,5079259447072
12,190012,Vincent Wilson,nữ,6905007432716
13,190013,Deborah Taylor,nữ,8941579545308
14,190014,Joseph Smith,nam,8318308523978
15,190015,Christopher Baker Jr.,nam,5436001295920
16,190016,Joseph Martin,nữ,2826605459039
17,190017,Holly Hammond,nam,9551635942382
18,190018,Teresa Wagner,nữ,9891925474726
19,190019,Brent Hernandez,nữ,1554526332979
20,190020,Robert Warner,nữ,0769106493609
21,190021,Lucas Washington,nam,6604225189729
22,190022,Crystal Martinez,nữ,7575834907243
23,190023,Scott Hanson,nữ,3962498326975
24,190024,Samantha Harrison,nữ,9665424746937
25,190025,Theresa Schwartz,nam,7063846144223
26,190026,Christopher Clark,nữ,2494420495164
27,190027,Kyle Warren,nam,8800569759316
28,190028,Michael Watkins,nam,8520026505589
29,190029,Sandra Morton,nam,1198335862010
30,190030,Christine Jenkins,nữ,5112432366330
31,190031,Diana Espinoza,nữ,1955483793909
32,190032,Ashley Reynolds,nữ,1551941349116
33,190033,Terrence Walker,nữ,9077883633915
34,190034,Edward Cole,nữ,7473729396564
35,190035,Carlos Carlson,nam,3959404736349
36,190036,Isaac Johnson,nữ,8000694750861
37,190037,Robert Williams,nam,5190819803996
38,190038,Ashlee White,nữ,3794630887132
39,190039,Timothy Ellis,nữ,1267649380862
40,190040,Natalie Lamb,nữ,6977965831488
41,190041,Tim Mccarty,nam,8644655314431
42,190042,Tommy Martin,nữ,7348561977121
43,190043,Roberta Baker,nam,0920665660479
44,190044,Susan Johnson,nữ,5628473142933
45,190045,Steven Johnson,nam,8067920208651
46,190046,Emily Farley,nam,3460677231881
47,190047,Lori Joseph,nam,3905419921707
48,190048,Jeffrey Thompson,nữ,6349890030954
49,190049,Troy Carr,nam,5217811225638
50,190050,Harold Gomez,nữ,1619671172626
51,190051,Tina Cooper,nam,1978593803786
52,190052,Joshua Ball,nam,4085462039437
53,190053,Andrew Graham,nữ,1563468592153
54,190054,Valerie Baxter,nam,3839990733422
55,190055,Andrew Carney,nam,0294409347619
56,190056,Melissa Davis,nam,9901573441019
57,190057,Curtis Harris,nam,2208716521995
58,190058,Corey Burns,nam,4484690717478
59,190059,John Jones,nam,6757275149392
60,190060,Ms. Mary Thompson,nữ,9878742065460
61,190061,Amanda Wright,nữ,6793140279010
62,190062,Charles Gill,nữ,3338007752109
63,190063,Anthony Perez,nam,4074182155838
64,190064,Sherry Oliver,nữ,4832251146684
65,190065,Ashley Bernard,nữ,2068094953000
66,190066,Robert Murphy,nữ,7016344991281
67,190067,Thomas Adams,nam,6454027533165
68,190068,Angel Thompson,nữ,1486053799378
69,190069,Jeremy Bautista,nữ,9559906156653
70,190070,Stephen Mcconnell,nam,4331632305611
71,190071,Kimberly Williams,nữ,7654456272726
72,190072,Lori Stewart,nữ,2553145901789
73,190073,Jesse Jones,nữ,9355044059052
74,190074,Nicholas Hamilton,nữ,7850501770380
75,190075,Tammie Garcia,nữ,9949608093292
76,190076,Christopher Lee,nữ,7764759981290
77,190077,Spencer Adams,nữ,0056739908395
78,190078,Melissa Floyd,nữ,9146319562687
79,190079,Deborah Howard,nam,6564037531506
80,190080,Jennifer Willis,nữ,6510341341323
81,190081,Patricia Hamilton,nam,2387027910474
82,190082,Travis Fritz,nam,2564577629734
83,190083,Marissa Hess,nam,7505757118449
84,190084,Glenn Pena,nam,5768068505097
85,190085,Lisa Robinson,nữ,8839831861804
86,190086,Anthony Jennings,nữ,0999647498342
87,190087,William David,nữ,4539521633993
88,190088,Sharon Tucker,nam,1430051744764
89,190089,Justin Schmidt,nữ,5651829799685
90,190090,Kimberly Maldonado,nữ,4038568518970
91,190091,Kimberly Jenkins,nam,9883115684377
92,190092,Mathew Estrada,nam,7510557284017
93,190093,Ronald Ferrell,nam,2291382701855
94,190094,Darrell Rodriguez,nam,7998199974058
95,190095,Matthew Powers,nam,1950924257365
96,190096,Sarah Medina,nữ,5973769956673
97,190097,Anthony Lee,nam,2128311638026
98,190098,Jason Rogers,nữ,0113811819102
99,190099,Jimmy Warren,nữ,4999354272533
